deal_id,tranche,tranche_key,cur_balance,margin,attachment,oc_test_trigger,oc_closing_val,oc_test_value,comp_rating,mvoc_nav,manager_name,vintage_year,reinvestment_end_date,deal_closed_date,bloomberg_id,bloomberg_ticker,tranche_type,flag
CADOG13,CR,CADOG13-CR,32500000,2.370001,0.22,1.2121,1.282051,1.281801,A,1.219288166,Credit Suisse First Boston,2023,15/10/2023 00:00,20/03/2019 00:00,BBG00ZV8W1W7,CADOG 13X CR,MEZ_FLT,1
CADOG13,DR,CADOG13-DR,32500000,3.4,0.16,1.1234,1.18343,1.183201,BBB,1.125496769,Credit Suisse First Boston,2023,15/10/2023 00:00,20/03/2019 00:00,BBG00ZV8W1X6,CADOG 13X DR,MEZ_FLT,1
CADOG13,AR,CADOG13-AR,307500000,0.75,0.39,1.308601,1.398601,1.398301,AAA,1.546414259,Credit Suisse First Boston,2023,15/10/2023 00:00,20/03/2019 00:00,BBG00ZV8W1S2,CADOG 13X AR,SEN_FLT,1
CADOG13,B1R,CADOG13-B1R,45000000,1.65,0.29,1.308601,1.398601,1.398301,AA,1.330132545,Credit Suisse First Boston,2023,15/10/2023 00:00,20/03/2019 00:00,BBG00ZV8W1T1,CADOG 13X B1R,MEZ_FLT,1
CADOG13,F,CADOG13-F,12500000,8.62,0.08,,,,B,1.028156508,Credit Suisse First Boston,2023,15/10/2023 00:00,20/03/2019 00:00,BBG00N1YJQT4,CADOG 13X F,MEZ_FLT,1
CADOG13,B2R,CADOG13-B2R,5000000,,0.29,1.308601,1.398601,1.398301,AA,1.330132545,Credit Suisse First Boston,2023,15/10/2023 00:00,20/03/2019 00:00,BBG00ZV8W1V8,CADOG 13X B2R,MEZ_FIX,1
CADOG13,E,CADOG13-E,27500000,5.75,0.1,1.066101,1.111111,1.1109,BB,1.056716411,Credit Suisse First Boston,2023,15/10/2023 00:00,20/03/2019 00:00,BBG00N1YJQR6,CADOG 13X E,MEZ_FLT,1
CADOG13,M,CADOG13-M,44500000,,-0.01,,,,Equity,0.29263786,Credit Suisse First Boston,2023,15/10/2023 00:00,20/03/2019 00:00,BBG00N1YJQV1,CADOG 13X M,JUN_SUB,1
HALCE14,DRR,HALCE14-DRR,28000000,3.5,0.14,1.116501,1.200961,1.166701,BBB,1.11104374,HPS Investment Partners,2026,15/04/2026 00:00,17/12/2014 00:00,BBG011YWY8K1,SEGOV 2014-1X DRR,MEZ_FLT,2
HALCE14,CRR,HALCE14-CRR,24000000,2.5,0.21,1.2121,1.28535,1.271401,A,1.210752793,HPS Investment Partners,2026,15/04/2026 00:00,17/12/2014 00:00,BBG011YWY8G6,SEGOV 2014-1X CRR,MEZ_FLT,2
HALCE14,ARR,HALCE14-ARR,248000000,1.040001,0.38,1.2989,1.399251,1.3773,AAA,1.523205127,HPS Investment Partners,2026,15/04/2026 00:00,17/12/2014 00:00,BBG011YWY849,SEGOV 2014-1X ARR,SEN_FLT,2
HALCE14,BRR,HALCE14-BRR,40000000,1.850001,0.28,1.2989,1.399251,1.3773,AA,1.311648859,HPS Investment Partners,2026,15/04/2026 00:00,17/12/2014 00:00,BBG011YWY858,SEGOV 2014-1X BRR,MEZ_FLT,2
HALCE14,ERR,HALCE14-ERR,21200000,6.240001,0.09,1.062401,1.11483,1.0982,BB,1.045832978,HPS Investment Partners,2026,15/04/2026 00:00,17/12/2014 00:00,BBG011YWY8L0,SEGOV 2014-1X ERR,MEZ_FLT,2
HALCE14,FRR,HALCE14-FRR,11400000,9.050001,0.06,1.0335,1.07565,1.0646,B,1.013834867,HPS Investment Partners,2026,15/04/2026 00:00,17/12/2014 00:00,BBG011YWY8M9,SEGOV 2014-1X FRR,MEZ_FLT,2
HALCE14,SUBORD,HALCE14-SUBORD,38700000,,-0.04,,,,Equity,0.133200814,HPS Investment Partners,2026,15/04/2026 00:00,17/12/2014 00:00,BBG007LW00Y2,SEGOV 2014-1X SUB,JUN_SUB,2
HENLEY2,FR,HENLEY2-FR,12500000,8.300001,0.08,1.038201,1.152301,1.0831,B,1.032546541,Napier Park Global Capital,2026,25/01/2026 00:00,10/06/2020 00:00,BBG010M9CH94,HNLY 2X FR,MEZ_FLT,3
HENLEY2,CR,HENLEY2-CR,31000000,2.15,0.22,1.2171,1.35017,1.2879,A,1.227803739,Napier Park Global Capital,2026,25/01/2026 00:00,10/06/2020 00:00,BBG010M9CH21,HNLY 2X CR,MEZ_FLT,3
HENLEY2,B1R,HENLEY2-B1R,20000000,1.550001,0.3,1.3335,1.49071,1.429901,AA,1.363255397,Napier Park Global Capital,2026,25/01/2026 00:00,10/06/2020 00:00,BBG010M9CGW0,HNLY 2X B1R,MEZ_FLT,3
HENLEY2,B2R,HENLEY2-B2R,25000000,,0.3,1.3335,1.49071,1.429901,AA,1.363255397,Napier Park Global Capital,2026,25/01/2026 00:00,10/06/2020 00:00,BBG010M9CGZ7,HNLY 2X B2R,MEZ_FIX,3
HENLEY2,DR,HENLEY2-DR,24500000,3,0.16,1.132701,1.24922,1.1941,BBB,1.13840941,Napier Park Global Capital,2026,25/01/2026 00:00,10/06/2020 00:00,BBG010M9CH58,HNLY 2X DR,MEZ_FLT,3
HENLEY2,AR,HENLEY2-AR,236000000,0.85,0.41,1.3335,1.49071,1.429901,AAA,1.623198163,Napier Park Global Capital,2026,25/01/2026 00:00,10/06/2020 00:00,BBG010M9CGS5,HNLY 2X AR,SEN_FLT,3
HENLEY2,SUBORD,HENLEY2-SUBORD,34150000,,-0.01,,,,Equity,0.35358028,Napier Park Global Capital,2026,25/01/2026 00:00,10/06/2020 00:00,BBG00TX1C9J4,HNLY 2X SUB,JUN_SUB,3
HENLEY2,ER,HENLEY2-ER,22000000,5.71,0.11,1.065801,1.179411,1.120801,BB,1.068548861,Napier Park Global Capital,2026,25/01/2026 00:00,10/06/2020 00:00,BBG010M9CH85,HNLY 2X ER,MEZ_FLT,3
HENLEY3,ER,HENLEY3-ER,20600000,6.290001,0.1,1.056201,1.1236,1.112901,BB,1.061571941,Napier Park Global Capital,2026,15/12/2026 00:00,25/11/2020 00:00,BBG013QLGPZ6,HNLY 3X ER,MEZ_FLT,4
HENLEY3,B2R,HENLEY3-B2R,14000000,,0.29,1.318501,1.461381,1.417,AA,1.35163526,Napier Park Global Capital,2026,15/12/2026 00:00,25/11/2020 00:00,BBG013QLGPM0,HNLY 3X B2R,MEZ_FIX,4
HENLEY3,SUBORD,HENLEY3-SUBORD,33200000,,-0.01,,,,Equity,0.327241382,Napier Park Global Capital,2026,15/12/2026 00:00,25/11/2020 00:00,BBG00XMKM664,HNLY 3X SUB,JUN_SUB,4
HENLEY3,FR,HENLEY3-FR,11400000,9.02,0.07,1.0324,1.094431,1.0789,B,1.029127115,Napier Park Global Capital,2026,15/12/2026 00:00,25/11/2020 00:00,BBG013QLGQ11,HNLY 3X FR,MEZ_FLT,4
HENLEY3,AR,HENLEY3-AR,236000000,0.97,0.41,1.318501,1.461381,1.417,AAA,1.626544127,Napier Park Global Capital,2026,15/12/2026 00:00,25/11/2020 00:00,BBG013QLGPC1,HNLY 3X AR,SEN_FLT,4
HENLEY3,DR,HENLEY3-DR,29000000,3.3,0.15,1.117,1.22592,1.180101,BBB,1.125702094,Napier Park Global Capital,2026,15/12/2026 00:00,25/11/2020 00:00,BBG013QLGPV0,HNLY 3X DR,MEZ_FLT,4
HENLEY3,B1R,HENLEY3-B1R,34000000,1.75,0.29,1.318501,1.461381,1.417,AA,1.35163526,Napier Park Global Capital,2026,15/12/2026 00:00,25/11/2020 00:00,BBG013QLGPH6,HNLY 3X B1R,MEZ_FLT,4
HENLEY3,CR,HENLEY3-CR,28000000,2.3,0.22,1.2171,1.328271,1.2898,A,1.23033466,Napier Park Global Capital,2026,15/12/2026 00:00,25/11/2020 00:00,BBG013QLGPR5,HNLY 3X CR,MEZ_FLT,4
JUBIL19,C,JUBIL19-C,28125000,1.75,0.2,1.190801,1.26582,1.255,A,1.183783179,Alcentra,2022,25/01/2022 00:00,13/12/2017 00:00,BBG00J1ZFM40,JUBIL 2017-19X C,MEZ_FLT,5
JUBIL19,B,JUBIL19-B,66375000,1.25,0.27,1.284601,1.37457,1.362801,AA,1.285482765,Alcentra,2022,25/01/2022 00:00,13/12/2017 00:00,BBG00J1ZFM59,JUBIL 2017-19X B,MEZ_FLT,5
JUBIL19,A2,JUBIL19-A2,30000000,,0.42,1.284601,1.37457,1.362801,AAA,1.61239433,Alcentra,2022,25/01/2022 00:00,13/12/2017 00:00,BBG00J1ZFM22,JUBIL 2017-19X A2,SEN_FIX,5
JUBIL19,A1,JUBIL19-A1,231000000,0.800001,0.42,1.284601,1.37457,1.362801,AAA,1.61239433,Alcentra,2022,25/01/2022 00:00,13/12/2017 00:00,BBG00J1ZFM13,JUBIL 2017-19X A1,SEN_FLT,5
JUBIL19,F,JUBIL19-F,13500000,6.71,0.06,1.035301,1.07527,1.066101,B,1.00557926,Alcentra,2022,25/01/2022 00:00,13/12/2017 00:00,BBG00J1ZFM86,JUBIL 2017-19X F,MEZ_FLT,5
JUBIL19,SUBORD,JUBIL19-SUBORD,42800000,,-0.03,,,,Equity,0.054554211,Alcentra,2022,25/01/2022 00:00,13/12/2017 00:00,BBG00J1ZFLZ8,JUBIL 2017-19X SUB,JUN_SUB,5
JUBIL19,E,JUBIL19-E,28125000,4.870001,0.09,1.066101,1.111111,1.1016,BB,1.039098569,Alcentra,2022,25/01/2022 00:00,13/12/2017 00:00,BBG00J1ZFM68,JUBIL 2017-19X E,MEZ_FLT,5
JUBIL19,D,JUBIL19-D,21375000,2.600001,0.16,1.134001,1.194031,1.1838,BBB,1.116643238,Alcentra,2022,25/01/2022 00:00,13/12/2017 00:00,BBG00J1ZFM04,JUBIL 2017-19X D,MEZ_FLT,5
SPAUL9,SUBORD,SPAUL9-SUBORD,37000000,,-0.02,,,,Equity,0.160076366,Intermediate Capital Group,2026,20/10/2026 00:00,31/05/2018 00:00,BBG00KK6STH7,SPAUL 9X SUB,JUN_SUB,6
SPAUL9,CR,SPAUL9-CR,24000000,3,0.23,1.208,1.28267,1.285501,A,1.213810944,Intermediate Capital Group,2026,20/10/2026 00:00,31/05/2018 00:00,BBG0152GV8P0,SPAUL 9X CR,MEZ_FLT,6
SPAUL9,BR,SPAUL9-BR,41000000,1.800001,0.28,1.294101,1.419191,1.3922,AA,1.314611853,Intermediate Capital Group,2026,20/10/2026 00:00,31/05/2018 00:00,BBG0152GV8N2,SPAUL 9X BR,MEZ_FLT,6
SPAUL9,DR,SPAUL9-DR,29000000,4,0.15,1.1096,1.19814,1.176501,BBB,1.110885455,Intermediate Capital Group,2026,20/10/2026 00:00,31/05/2018 00:00,BBG0152GV8R8,SPAUL 9X DR,MEZ_FLT,6
SPAUL9,ER,SPAUL9-ER,19200000,7.150001,0.11,1.0574,1.11157,1.113901,BB,1.051835065,Intermediate Capital Group,2026,20/10/2026 00:00,31/05/2018 00:00,BBG0152GV8S7,SPAUL 9X ER,MEZ_FLT,6
SPAUL9,FR,SPAUL9-FR,12800000,9.93,0.07,1.029501,1.078601,1.075801,B,1.015836432,Intermediate Capital Group,2026,20/10/2026 00:00,31/05/2018 00:00,BBG0152GV8T6,SPAUL 9X FR,MEZ_FLT,6
SPAUL9,A2R,SPAUL9-A2R,33000000,1.320001,0.39,1.294101,1.419191,1.3922,AAA,1.531946877,Intermediate Capital Group,2026,20/10/2026 00:00,31/05/2018 00:00,BBG0152GV8M3,SPAUL 9X A2R,SEN_FLT,6
SPAUL9,A1R,SPAUL9-A1R,215000000,0.94,0.39,1.294101,1.419191,1.3922,AAA,1.531946877,Intermediate Capital Group,2026,20/10/2026 00:00,31/05/2018 00:00,BBG0152GV8L4,SPAUL 9X A1R,SEN_FLT,6
VOYE2,M2,VOYE2-M2,626000,,-0.02,,,,Equity,0.323716914,Voya Alternative Asset Management,2026,15/01/2026 00:00,24/06/2019 00:00,BBG00P0W5ZB8,VOYE 2X M2,JUN_SUB,7
VOYE2,M1,VOYE2-M1,33724000,,-0.02,,,,Equity,0.323716914,Voya Alternative Asset Management,2026,15/01/2026 00:00,24/06/2019 00:00,BBG00P0W5Z73,VOYE 2X M1,JUN_SUB,7
VOYE2,DR,VOYE2-DR,27000000,3.200001,0.15,1.116501,1.192521,1.179301,BBB,1.129763753,Voya Alternative Asset Management,2026,15/01/2026 00:00,24/06/2019 00:00,BBG011LY7WD6,VOYE 2X DR,MEZ_FLT,7
VOYE2,ER,VOYE2-ER,22000000,6.02,0.1,1.060001,1.11289,1.1077,BB,1.061104077,Voya Alternative Asset Management,2026,15/01/2026 00:00,24/06/2019 00:00,BBG011LY7WF4,VOYE 2X ER,MEZ_FLT,7
VOYE2,FR,VOYE2-FR,11000000,8.570001,0.07,1.0324,1.08526,1.075,B,1.029811464,Voya Alternative Asset Management,2026,15/01/2026 00:00,24/06/2019 00:00,BBG011LY7WG3,VOYE 2X FR,MEZ_FLT,7
VOYE2,AR,VOYE2-AR,248000000,0.96,0.38,1.298601,1.39726,1.402,AAA,1.548869661,Voya Alternative Asset Management,2026,15/01/2026 00:00,24/06/2019 00:00,BBG011LY7W64,VOYE 2X AR,SEN_FLT,7
VOYE2,B1R,VOYE2-B1R,28000000,1.67,0.29,1.298601,1.39726,1.402,AA,1.34307579,Voya Alternative Asset Management,2026,15/01/2026 00:00,24/06/2019 00:00,BBG011LY7W91,VOYE 2X B1R,MEZ_FLT,7
VOYE2,B2R,VOYE2-B2R,10000000,,0.29,1.298601,1.39726,1.402,AA,1.34307579,Voya Alternative Asset Management,2026,15/01/2026 00:00,24/06/2019 00:00,BBG011LY7WB8,VOYE 2X B2R,MEZ_FIX,7
VOYE2,CR,VOYE2-CR,27000000,2.15,0.22,1.198,1.27969,1.281101,A,1.227219412,Voya Alternative Asset Management,2026,15/01/2026 00:00,24/06/2019 00:00,BBG011LY7WC7,VOYE 2X CR,MEZ_FLT,7
